time_id,hour,minute,time_am_or_pm
1,1,0,AM
2,1,1,AM
3,1,2,AM
4,1,3,AM
5,1,4,AM
6,1,5,AM
7,1,6,AM
8,1,7,AM
9,1,8,AM
10,1,9,AM
11,1,10,AM
12,1,11,AM
13,1,12,AM
14,1,13,AM
15,1,14,AM
16,1,15,AM
17,1,16,AM
18,1,17,AM
19,1,18,AM
20,1,19,AM
21,1,20,AM
22,1,21,AM
23,1,22,AM
24,1,23,AM
25,1,24,AM
26,1,25,AM
27,1,26,AM
28,1,27,AM
29,1,28,AM
30,1,29,AM
31,1,30,AM
32,1,31,AM
33,1,32,AM
34,1,33,AM
35,1,34,AM
36,1,35,AM
37,1,36,AM
38,1,37,AM
39,1,38,AM
40,1,39,AM
41,1,40,AM
42,1,41,AM
43,1,42,AM
44,1,43,AM
45,1,44,AM
46,1,45,AM
47,1,46,AM
48,1,47,AM
49,1,48,AM
50,1,49,AM
51,1,50,AM
52,1,51,AM
53,1,52,AM
54,1,53,AM
55,1,54,AM
56,1,55,AM
57,1,56,AM
58,1,57,AM
59,1,58,AM
60,1,59,AM
61,2,0,AM
62,2,1,AM
63,2,2,AM
64,2,3,AM
65,2,4,AM
66,2,5,AM
67,2,6,AM
68,2,7,AM
69,2,8,AM
70,2,9,AM
71,2,10,AM
72,2,11,AM
73,2,12,AM
74,2,13,AM
75,2,14,AM
76,2,15,AM
77,2,16,AM
78,2,17,AM
79,2,18,AM
80,2,19,AM
81,2,20,AM
82,2,21,AM
83,2,22,AM
84,2,23,AM
85,2,24,AM
86,2,25,AM
87,2,26,AM
88,2,27,AM
89,2,28,AM
90,2,29,AM
91,2,30,AM
92,2,31,AM
93,2,32,AM
94,2,33,AM
95,2,34,AM
96,2,35,AM
97,2,36,AM
98,2,37,AM
99,2,38,AM
100,2,39,AM
101,2,40,AM
102,2,41,AM
103,2,42,AM
104,2,43,AM
105,2,44,AM
106,2,45,AM
107,2,46,AM
108,2,47,AM
109,2,48,AM
110,2,49,AM
111,2,50,AM
112,2,51,AM
113,2,52,AM
114,2,53,AM
115,2,54,AM
116,2,55,AM
117,2,56,AM
118,2,57,AM
119,2,58,AM
120,2,59,AM
121,3,0,AM
122,3,1,AM
123,3,2,AM
124,3,3,AM
125,3,4,AM
126,3,5,AM
127,3,6,AM
128,3,7,AM
129,3,8,AM
130,3,9,AM
131,3,10,AM
132,3,11,AM
133,3,12,AM
134,3,13,AM
135,3,14,AM
136,3,15,AM
137,3,16,AM
138,3,17,AM
139,3,18,AM
140,3,19,AM
141,3,20,AM
142,3,21,AM
143,3,22,AM
144,3,23,AM
145,3,24,AM
146,3,25,AM
147,3,26,AM
148,3,27,AM
149,3,28,AM
150,3,29,AM
151,3,30,AM
152,3,31,AM
153,3,32,AM
154,3,33,AM
155,3,34,AM
156,3,35,AM
157,3,36,AM
158,3,37,AM
