time_id,hour,minute,time_am_or_pm
0100,1,0,AM
0101,1,1,AM
0102,1,2,AM
0103,1,3,AM
0104,1,4,AM
0105,1,5,AM
0106,1,6,AM
0107,1,7,AM
0108,1,8,AM
0109,1,9,AM
01010,1,10,AM
01011,1,11,AM
01012,1,12,AM
01013,1,13,AM
01014,1,14,AM
01015,1,15,AM
01016,1,16,AM
01017,1,17,AM
01018,1,18,AM
01019,1,19,AM
01020,1,20,AM
01021,1,21,AM
01022,1,22,AM
01023,1,23,AM
01024,1,24,AM
01025,1,25,AM
01026,1,26,AM
01027,1,27,AM
01028,1,28,AM
01029,1,29,AM
01030,1,30,AM
01031,1,31,AM
01032,1,32,AM
01033,1,33,AM
01034,1,34,AM
01035,1,35,AM
01036,1,36,AM
01037,1,37,AM
01038,1,38,AM
01039,1,39,AM
01040,1,40,AM
01041,1,41,AM
01042,1,42,AM
01043,1,43,AM
01044,1,44,AM
01045,1,45,AM
01046,1,46,AM
01047,1,47,AM
01048,1,48,AM
01049,1,49,AM
01050,1,50,AM
01051,1,51,AM
01052,1,52,AM
01053,1,53,AM
01054,1,54,AM
01055,1,55,AM
01056,1,56,AM
01057,1,57,AM
01058,1,58,AM
01059,1,59,AM
0200,2,0,AM
0201,2,1,AM
0202,2,2,AM
0203,2,3,AM
0204,2,4,AM
0205,2,5,AM
0206,2,6,AM
0207,2,7,AM
0208,2,8,AM
0209,2,9,AM
02010,2,10,AM
02011,2,11,AM
02012,2,12,AM
02013,2,13,AM
02014,2,14,AM
02015,2,15,AM
02016,2,16,AM
02017,2,17,AM
02018,2,18,AM
02019,2,19,AM
02020,2,20,AM
02021,2,21,AM
02022,2,22,AM
02023,2,23,AM
02024,2,24,AM
02025,2,25,AM
02026,2,26,AM
02027,2,27,AM
02028,2,28,AM
02029,2,29,AM
02030,2,30,AM
02031,2,31,AM
02032,2,32,AM
02033,2,33,AM
02034,2,34,AM
02035,2,35,AM
02036,2,36,AM
02037,2,37,AM
02038,2,38,AM
02039,2,39,AM
02040,2,40,AM
02041,2,41,AM
02042,2,42,AM
02043,2,43,AM
02044,2,44,AM
02045,2,45,AM
02046,2,46,AM
02047,2,47,AM
02048,2,48,AM
02049,2,49,AM
02050,2,50,AM
02051,2,51,AM
02052,2,52,AM
02053,2,53,AM
02054,2,54,AM
02055,2,55,AM
02056,2,56,AM
02057,2,57,AM
02058,2,58,AM
02059,2,59,AM
0300,3,0,AM
0301,3,1,AM
0302,3,2,AM
0303,3,3,AM
0304,3,4,AM
0305,3,5,AM
0306,3,6,AM
0307,3,7,AM
0308,3,8,AM
0309,3,9,AM
03010,3,10,AM
03011,3,11,AM
03012,3,12,AM
03013,3,13,AM
03014,3,14,AM
03015,3,15,AM
03016,3,16,AM
03017,3,17,AM
03018,3,18,AM
03019,3,19,AM
03020,3,20,AM
03021,3,21,AM
03022,3,22,AM
03023,3,23,AM
03024,3,24,AM
03025,3,25,AM
03026,3,26,AM
03027,3,27,AM
03028,3,28,AM
03029,3,29,AM
03030,3,30,AM
03031,3,31,AM
03032,3,32,AM
03033,3,33,AM
03034,3,34,AM
03035,3,35,AM
03036,3,36,AM
03037,3,37,AM
03038,3,38,AM
03039,3,39,AM
03040,3,40,AM
03041,3,41,AM
03042,3,42,AM
03043,3,43,AM
03044,3,44,AM
03045,3,45,AM
03046,3,46,AM
03047,3,47,AM
03048,3,48,AM
03049,3,49,AM
03050,3,50,AM
03051,3,51,AM
03052,3,52,AM
03053,3,53,AM
03054,3,54,AM
03055,3,55,AM
03056,3,56,AM
03057,3,57,AM
03058,3,58,AM
03059,3,59,AM
0400,4,0,AM
0401,4,1,AM
0402,4,2,AM
0403,4,3,AM
0404,4,4,AM
0405,4,5,AM
0406,4,6,AM
0407,4,7,AM
0408,4,8,AM
0409,4,9,AM
04010,4,10,AM
04011,4,11,AM
04012,4,12,AM
04013,4,13,AM
04014,4,14,AM
04015,4,15,AM
04016,4,16,AM
04017,4,17,AM
04018,4,18,AM
04019,4,19,AM
04020,4,20,AM
04021,4,21,AM
04022,4,22,AM
04023,4,23,AM
04024,4,24,AM
04025,4,25,AM
04026,4,26,AM
04027,4,27,AM
04028,4,28,AM
04029,4,29,AM
04030,4,30,AM
04031,4,31,AM
04032,4,32,AM
04033,4,33,AM
04034,4,34,AM
04035,4,35,AM
04036,4,36,AM
04037,4,37,AM
04038,4,38,AM
04039,4,39,AM
04040,4,40,AM
04041,4,41,AM
04042,4,42,AM
04043,4,43,AM
04044,4,44,AM
04045,4,45,AM
04046,4,46,AM
04047,4,47,AM
04048,4,48,AM
04049,4,49,AM
04050,4,50,AM
04051,4,51,AM
04052,4,52,AM
04053,4,53,AM
04054,4,54,AM
04055,4,55,AM
04056,4,56,AM
04057,4,57,AM
04058,4,58,AM
04059,4,59,AM
0500,5,0,AM
0501,5,1,AM
